ticker,date,close,previous_high,pullback,pullback_zone,sma50,dist_sma50,ret_5d,ret_10d,ret_20d,volume_ratio,close_location,cross_sma50,institutional_score,falling_score,falling_risk,confirmation_sma50,confirmation_institutional,confirmation_volume,confirmations_total,revenue_yoy,eps_growth_yoy,growth_class,fundamentals_ok,signal,initial_weight,confirmation_weight,cash_weight,needs_confirmation,confirmation_trigger,confirmation_executed,effective_weight,current_cash_weight,reason,run_timestamp
UBER,2026-08-14,75.94999694824219,100.0999984741211,0.2412587601799256,True,72.25399993896484,0.0511528360007678,0.012396698837519,0.0794484975753142,0.0481644756812782,0.4816947798024514,0.280190476892514,False,,1,BAIXO,True,False,False,1,0.1437861271676299,0.857142857142857,CRESCIMENTO_FORTE,True,ENTRADA_FORTE,1.0,0.0,0.0,False,,False,1.0,0.0,fundamentos aprovados | queda 24.1% | Falling Score 1 | 1 confirmações | queda estabilizada,2026-08-17 02:31:59.315015+00:00
PYPL,2026-08-14,61.65999984741211,91.02171325683594,0.3225792215817108,False,50.05260009765625,0.2319040315010405,0.0438462868794433,0.0777836188455249,0.09016970209144,1.224912575388174,0.7811443573329497,False,,0,BAIXO,True,False,False,1,0.118701550387597,-0.0620155038759689,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 32.3% | Falling Score 0 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
CVX,2026-08-14,200.0,209.23358154296875,0.044130495090113,False,183.9932000732421,0.0869966929233581,0.0720411804099916,0.0161052590532728,0.0673497427064324,1.0090955785470683,0.501528210057722,False,,0,BAIXO,True,False,False,1,0.5143436619718309,3.2137931034482765,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 4.4% | Falling Score 0 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
V,2026-08-14,364.1499938964844,369.7830505371094,0.0152334095152359,False,347.87827453613284,0.046774175196909,0.0064178980858735,-0.0035602204941737,0.0174768601715606,1.2217873553992449,0.3440573491864452,False,,0,BAIXO,True,False,False,1,0.1705232436939754,,SEM_DADOS,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 1.5% | Falling Score 0 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
NKE,2026-08-14,40.72999954223633,115.98971557617188,0.6488481815830609,False,42.838999862670896,-0.0492308486938396,-0.0232614197351576,-0.0234955541536118,-0.069241291030989,1.1524951347615453,0.0322586599397034,False,,1,BAIXO,True,False,False,1,0.001921872638148,-0.0277777777777777,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 64.9% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
NOW,2026-08-14,124.0,234.0780029296875,0.4702620560324619,False,107.64900039672852,0.1518917922415599,-0.0070467430555126,0.1148071226977121,0.2010848756857235,0.5952894658266548,0.2824078761776708,False,,1,BAIXO,True,False,False,1,0.2401244167962675,-0.2162162162162162,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 47.0% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
NFLX,2026-08-14,78.16000366210938,133.91299438476562,0.4163374210157972,False,74.84139938354492,0.0443418255925087,0.0542218007223536,0.089945679263484,0.1335751576723165,0.6045715900184597,0.4123721881390593,False,,1,BAIXO,True,False,False,1,0.1336537425289954,0.1111111111111111,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 41.6% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
QCOM,2026-08-14,165.7899932861328,250.0962829589844,0.3370953325470964,False,183.87080017089843,-0.0983343024991485,-0.0123317485803172,0.1231623372441497,-0.0348702150176402,0.4805213029427604,0.688652961969869,False,,1,BAIXO,True,False,False,1,-0.0403280270139894,-0.2304526748971194,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 33.7% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
UNH,2026-08-14,401.7300109863281,599.775634765625,0.3301995151181615,False,414.8671667480469,-0.0316659326518772,-0.0131423203360742,-0.030574283534669,-0.0571709863196246,0.7290574049055559,0.7809693717615386,False,,1,BAIXO,True,False,False,1,0.0037270642201834,0.6149732620320856,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 33.0% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
MELI,2026-08-14,1844.5799560546875,2613.6298828125,0.2942459189861443,True,1755.2153955078124,0.0509137287512342,0.0131214074978551,-0.0218218010214981,-0.0156360325910822,0.5842609034605223,0.2925286213459845,False,,1,BAIXO,True,False,False,1,0.468873620653758,-0.1086323957322988,NAO_APROVADO,False,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos não aprovados | queda 29.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
MU,2026-08-14,971.6599731445312,1213.3734130859375,0.1992077931942347,False,960.6536303710938,0.0114571396239722,0.1072164784974822,0.1805887252675733,0.1445432112292319,0.6347757318656403,0.5561139469784291,True,,1,BAIXO,True,False,False,1,3.457155144608107,13.68452380952381,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 19.9% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
CAT,2026-08-14,856.5700073242188,1062.92822265625,0.1941412514349685,False,911.4767236328124,-0.0602392961717724,0.0170745376234895,0.0512512240776992,-0.0251294787188653,0.6025014597947854,0.313006687990695,False,,1,BAIXO,True,False,False,1,0.2481436225209137,0.6818181818181817,CRESCIMENTO_FORTE,True,AGUARDAR,0.0,0.0,1.0,False,,False,0.0,1.0,fundamentos aprovados | queda 19.4% | Falling Score 1 | 1 confirmações | condições insuficientes para entrada,2026-08-17 02:31:59.315015+00:00
